artist,title,startTime
VANCE JOY,CLARITY,09 Sep 2022 08:27:48
SIT NEXT TO ME,FOSTER THE PEOPLE,09 Sep 2022 08:31:18
MAGNOLIA PARK,10 FOR 10,09 Sep 2022 08:35:19
MGMT,KIDS,09 Sep 2022 08:37:37
HIGHLY SUSPECT,NATURAL BORN KILLER,09 Sep 2022 08:41:29
PORTUGAL THE MAN,FEEL IT STILL,09 Sep 2022 08:44:57
JAGWAR TWIN,HAPPY FACE,09 Sep 2022 08:47:42
KATE BUSH,RUNNING UP THAT HILL,09 Sep 2022 08:53:34
ALL AMERICAN REJECTS,MOVE ALONG,09 Sep 2022 08:58:34
MUSE,MADNESS,09 Sep 2022 09:02:34
RED HOT CHILI PEPPERS,TIPPA MY TONGUE,09 Sep 2022 09:07:15
M.I.A.,PAPER PLANES,09 Sep 2022 09:11:17
CAPITAL THEATRE,FAIT ACCOMPLI,09 Sep 2022 09:14:48
MONSTERS FEAT. BLACKBEAR,ALL TIME LOW,09 Sep 2022 09:19:01
AJR,I WON'T,09 Sep 2022 09:21:55
IMAGINE DRAGONS,ENEMY,09 Sep 2022 09:27:45
PANIC! AT THE DISCO,DON'T LET THE LIGHT GO OUT,09 Sep 2022 09:30:38
MARSHMELLO FEATURING BASTILLE,HAPPIER,09 Sep 2022 09:34:29
THE BLACK KEYS,IT AIN'T OVER,09 Sep 2022 09:38:03
JIMMY EAT WORLD,THE MIDDLE,09 Sep 2022 09:41:51
OFFSPRING,BEHIND YOUR WALLS,09 Sep 2022 09:44:45
CAGE THE ELEPHANT,SOCIAL CUES,09 Sep 2022 09:48:07
WET LEG,WET DREAM,09 Sep 2022 09:51:50
THE KILLERS,BOY,09 Sep 2022 09:56:56
LINKIN PARK,IN THE END,09 Sep 2022 10:00:16
WALK THE MOON,SHUT UP AND DANCE,09 Sep 2022 10:03:53
DEATH CAB FOR CUTIE,HERE TO FOREVER,09 Sep 2022 10:07:11
30 SECONDS TO MARS,THE KILL,09 Sep 2022 10:10:48
PALAYE ROYALE,BROKEN,09 Sep 2022 10:14:44
FOO FIGHTERS,LOVE DIES YOUNG,09 Sep 2022 10:17:54
BEACH WEATHER,"SEX, DRUGS, ETC",09 Sep 2022 10:22:14
TAME IMPALA,THE LESS I KNOW THE BETTER,09 Sep 2022 10:28:00
CAFUNE,TEK IT,09 Sep 2022 10:31:39
FUN.,WE ARE YOUNG,09 Sep 2022 10:34:46
LOVELYTHEBAND,SAIL AWAY,09 Sep 2022 10:38:38
RED HOT CHILI PEPPERS,CALIFORNICATION,09 Sep 2022 10:41:42
GIANT ROOKS,MORNING BLUE,09 Sep 2022 10:47:17
WEEZER,AFRICA,09 Sep 2022 10:51:03
MICHIGANDER,STAY OUT OF IT,09 Sep 2022 10:55:02
BIG DATA,DANGEROUS,09 Sep 2022 11:00:52
IMAGINE DRAGONS,BONES,09 Sep 2022 11:04:37
BLINK-182,ALL THE SMALL THINGS,09 Sep 2022 11:07:21
HUDDY,ALL THE THINGS I HATE ABOUT,09 Sep 2022 11:10:10
MACHINE GUN KELLY,MY EX BEST FRIEND,09 Sep 2022 11:13:31
THE 1975,PART OF THE BAND,09 Sep 2022 11:15:52
MANESKIN,SUPERMODEL,09 Sep 2022 11:22:29
DIRTY HEADS,LIFE'S BEEN GOOD,09 Sep 2022 11:24:57
TWENTY ONE PILOTS,LEVEL OF CONCERN,09 Sep 2022 11:28:11
THE STRUTS,FALLING WITH ME,09 Sep 2022 11:31:32
KILLERS,MR. BRIGHTSIDE,09 Sep 2022 11:34:17
FALLING IN REVERSE,VOICES IN MY HEAD,09 Sep 2022 11:38:02
LOVELYTHEBAND,BROKEN,09 Sep 2022 11:41:23
GORILLAZ,CRACKER ISLAND,09 Sep 2022 11:44:52
GIOVANNIE AND THE HIRED GUNS,RAMONE AYALA,09 Sep 2022 11:50:56
YELLOWCARD,OCEAN AVENUE,09 Sep 2022 11:53:46
LUMINEERS,ANGELA,09 Sep 2022 11:57:03
ELLE KING,EX'S AND OH'S,09 Sep 2022 12:00:26
VANCE JOY,CLARITY,09 Sep 2022 12:03:51
GREEN DAY,BOULEVARD OF BROKEN DREAMS,09 Sep 2022 12:07:23
SILVERSUN PICKUPS,SCARED TOGETHER,09 Sep 2022 12:11:48
COLDPLAY,MY UNIVERSE,09 Sep 2022 12:15:47
ALMOST MONDAY,SUN KEEPS ON SHINING,09 Sep 2022 12:19:03
RED HOT CHILLI PEPPERS,BLACK SUMMER,09 Sep 2022 12:24:24
PANIC! AT THE DISCO,DON'T LET THE LIGHT GO OUT,09 Sep 2022 12:28:19
PHOENIX,1901,09 Sep 2022 12:32:09
TALK,RUN AWAY TO MARS,09 Sep 2022 12:35:26
BLINK-182,FIRST DATE,09 Sep 2022 12:38:58
WALK THE MOON,GIANTS,09 Sep 2022 12:41:50
THE WALLFLOWERS,ONE HEADLIGHT,09 Sep 2022 12:45:26
TWO DOOR CINEMA CLUB,LUCKY,09 Sep 2022 12:50:26
KATE BUSH,RUNNING UP THAT HILL,09 Sep 2022 12:56:15
AJR,BANG!,09 Sep 2022 13:01:16
BLACK KEYS,WILD CHILD,09 Sep 2022 13:04:12
MGMT,ELECTRIC FEEL,09 Sep 2022 13:06:54
THE KILLERS,BOY,09 Sep 2022 13:10:40
REVIVALISTS,WISH I KNEW YOU,09 Sep 2022 13:13:59
GIRL IN RED,SEROTONIN,09 Sep 2022 13:18:27
BUSH,COMEDOWN,09 Sep 2022 13:21:33
SHAED,TRAMPOLINE,09 Sep 2022 13:31:13
JACK WHITE,WHAT'S THE TRICK,09 Sep 2022 13:34:20
PANIC AT THE DISCO,I WRITE SINS  NOT TRADGEDIES,09 Sep 2022 13:37:54
BILLIE EILISH,EVERYTHING I WANTED,09 Sep 2022 13:41:01
PHOENIX,LISZTOMANIA,09 Sep 2022 13:45:05
CAFUNE,TEK IT,09 Sep 2022 13:49:01
RED HOT CHILI PEPPERS,SCAR TISSUE,09 Sep 2022 13:56:41
INTERRUPTERS,SHE'S KEROSENE,09 Sep 2022 14:00:15
